Ticker,Security,Start Date,End Date,Period,Period 2,Currency,DATE 1,Best Div Yld,Best_EV,CUR_MKT_CAP,YEARLY DATA,NET_DEBT,BEST_EPS,BEST_EBITDA
CPRT,CPRT US Equity,44631,44631,D,Q,USD,44631,#N/A N/A,#N/A N/A,27435.6884,44561,-821.103,1.11,390
GLW,GLW US Equity,44631,44631,D,Q,USD,44631,2.887,36009.756,30822.7557,44561,5696,0.482,965.4
CTVA,CTVA US Equity,44631,44631,D,Q,USD,44631,1.07,38623.174,38978.1736,44561,-2969,0.916,997
COST,COST US Equity,44631,44631,D,Q,USD,44631,0.627,228756.355,233765.355,44561,-3361,2.903,2168.875
CTRA,CTRA US Equity,44631,44631,D,Q,USD,44631,2.236,22655.473,20856.6162,44561,2456,1.113,1306.75
CCI,CCI US Equity,44631,44631,D,Q,USD,44631,3.439,95318.915,75045.4154,44561,26717,0.81,987.636
CSX,CSX US Equity,44631,44631,D,Q,USD,44631,1.329,90158.48,76088.6798,44561,14592,0.404,1701.5
CMI,CMI US Equity,44631,44631,D,Q,USD,44631,2.959,29598.85,27814.5171,44561,1426,4.093,960.444
CVS,CVS US Equity,44631,44631,D,Q,USD,44631,2.18,183618.054,135805.4538,44561,63474,2.116,4880.125
DHI,DHI US Equity,44631,44631,D,Q,USD,44631,1.114,31488.537,28688.837,44561,2852.5,3.375,1614.667
DHR,DHR US Equity,44631,44631,D,Q,USD,44631,0.355,208847.361,187794.3609,44561,20686,2.467,2458
DRI,DRI US Equity,44631,44631,D,Q,USD,44631,3.527,16516.84,16476.3543,44561,5094,2.166,438.619
DVA,DVA US Equity,44631,44631,D,Q,USD,44631,#N/A N/A,20753.583,10590.111,44561,11491.04,2.036,587.25
DE,DE US Equity,44631,44631,D,Q,USD,44631,1.047,122810.11,119486.3597,44561,6686,6.912,2907.143
DAL,DAL US Equity,44631,44631,D,Q,USD,44631,#N/A N/A,45487.047,20522.5474,44561,23360,-0.608,231.42
XRAY,XRAY US Equity,44631,44631,D,Q,USD,44631,0.984,12152.623,10610.1234,44561,1756,0.725,266
